# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-08-15 20:07:47 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02097517 MORGAN CREEK NEAR CHAPEL HILL, NC
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 02097517
#    TS_ID       Parameter Description
#    89562       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#

	site_no	datetime	tz_cd	89562_00060	89562_00060_cd
5s	15s	20d	6s	14n	10s
USGS	02097517	2022-08-15 20:00	EDT	6.16	A
USGS	02097517	2022-08-15 20:15	EDT	6.49	A
USGS	02097517	2022-08-15 20:30	EDT	6.33	A
USGS	02097517	2022-08-15 20:45	EDT	6.33	A
USGS	02097517	2022-08-15 21:00	EDT	6.33	A
USGS	02097517	2022-08-15 21:15	EDT	6.00	A
USGS	02097517	2022-08-15 21:30	EDT	5.84	A
USGS	02097517	2022-08-15 21:45	EDT	6.00	A
USGS	02097517	2022-08-15 22:00	EDT	6.16	A
USGS	02097517	2022-08-15 22:15	EDT	6.16	A
USGS	02097517	2022-08-15 22:30	EDT	5.69	A
USGS	02097517	2022-08-15 22:45	EDT	4.70	A
USGS	02097517	2022-08-15 23:00	EDT	4.83	A
USGS	02097517	2022-08-15 23:15	EDT	5.39	A
USGS	02097517	2022-08-15 23:30	EDT	6.00	A
USGS	02097517	2022-08-15 23:45	EDT	6.16	A
USGS	02097517	2022-08-16 00:00	EDT	6.49	A
USGS	02097517	2022-08-16 00:15	EDT	6.33	A
USGS	02097517	2022-08-16 00:30	EDT	6.33	A
USGS	02097517	2022-08-16 00:45	EDT	6.00	A
USGS	02097517	2022-08-16 01:00	EDT	5.84	A
USGS	02097517	2022-08-16 01:15	EDT	5.69	A
USGS	02097517	2022-08-16 01:30	EDT	5.69	A
USGS	02097517	2022-08-16 01:45	EDT	5.54	A
USGS	02097517	2022-08-16 02:00	EDT	5.25	A
USGS	02097517	2022-08-16 02:15	EDT	4.96	A
USGS	02097517	2022-08-16 02:30	EDT	4.70	A
USGS	02097517	2022-08-16 02:45	EDT	4.57	A
USGS	02097517	2022-08-16 03:00	EDT	4.44	A
USGS	02097517	2022-08-16 03:15	EDT	4.44	A
USGS	02097517	2022-08-16 03:30	EDT	4.31	A
USGS	02097517	2022-08-16 03:45	EDT	4.57	A
USGS	02097517	2022-08-16 04:00	EDT	4.57	A
USGS	02097517	2022-08-16 04:15	EDT	4.44	A
USGS	02097517	2022-08-16 04:30	EDT	4.19	A
USGS	02097517	2022-08-16 04:45	EDT	3.84	A
USGS	02097517	2022-08-16 05:00	EDT	3.62	A
USGS	02097517	2022-08-16 05:15	EDT	3.51	A
USGS	02097517	2022-08-16 05:30	EDT	3.51	A
USGS	02097517	2022-08-16 05:45	EDT	3.51	A
USGS	02097517	2022-08-16 06:00	EDT	3.41	A
USGS	02097517	2022-08-16 06:15	EDT	3.41	A
USGS	02097517	2022-08-16 06:30	EDT	3.31	A
USGS	02097517	2022-08-16 06:45	EDT	3.21	A
USGS	02097517	2022-08-16 07:00	EDT	3.21	A
USGS	02097517	2022-08-16 07:15	EDT	3.41	A
USGS	02097517	2022-08-16 07:30	EDT	3.73	A
USGS	02097517	2022-08-16 07:45	EDT	3.84	A
USGS	02097517	2022-08-16 08:00	EDT	3.96	A
USGS	02097517	2022-08-16 08:15	EDT	4.07	A
USGS	02097517	2022-08-16 08:30	EDT	4.19	A
USGS	02097517	2022-08-16 08:45	EDT	4.44	A
USGS	02097517	2022-08-16 09:00	EDT	4.57	A
USGS	02097517	2022-08-16 09:15	EDT	4.70	A
USGS	02097517	2022-08-16 09:30	EDT	4.96	A
USGS	02097517	2022-08-16 09:45	EDT	5.25	A
USGS	02097517	2022-08-16 10:00	EDT	5.69	A
USGS	02097517	2022-08-16 10:15	EDT	6.33	A
